Subject,Interpolated_Chans,Number_Overlapping_Epochs,Removed_ICs,Excluded_Subjects
sub-010002,0,1549,8,sub-010092
sub-010003,1,753,3,sub-010267
sub-010004,0,789,7,sub-010271
sub-010005,0,865,3,
sub-010006,0,769,7,
sub-010007,2,989,5,
sub-010010,1,1125,3,
sub-010012,0,473,1,
sub-010015,1,233,6,
sub-010016,1,1481,3,
sub-010017,0,1549,2,
sub-010019,3,1509,3,
sub-010020,3,1389,4,
sub-010021,0,1137,5,
sub-010022,2,1613,2,
sub-010023,2,1317,5,
sub-010024,0,533,3,
sub-010026,0,1013,10,
sub-010027,3,1633,1,
sub-010028,0,1289,6,
sub-010029,0,673,6,
sub-010030,2,949,2,
sub-010031,1,929,3,
sub-010032,2,1517,8,
sub-010033,0,1581,4,
sub-010034,3,1537,6,
sub-010035,0,721,3,
sub-010036,4,1005,6,
sub-010037,2,1489,7,
sub-010038,1,1153,7,
sub-010039,0,1345,9,
sub-010040,0,1593,3,
sub-010041,7,885,1,
sub-010042,6,1033,3,
sub-010044,3,381,6,
sub-010045,1,1521,8,
sub-010046,0,1353,4,
sub-010047,1,1009,7,
sub-010048,0,1301,7,
sub-010049,3,1425,9,
sub-010050,5,785,2,
sub-010051,1,993,3,
sub-010052,1,1393,2,
sub-010053,1,1553,3,
sub-010056,2,1333,2,
sub-010059,6,1353,3,
sub-010060,0,697,6,
sub-010061,1,1561,5,
sub-010062,1,1045,2,
sub-010063,0,809,4,
sub-010064,1,801,4,
sub-010065,1,1237,0,
sub-010066,0,989,4,
sub-010067,3,1549,1,
sub-010068,0,765,7,
sub-010069,5,973,5,
sub-010070,2,781,4,
sub-010071,1,517,8,
sub-010072,1,1745,6,
sub-010073,1,1741,6,
sub-010074,1,705,4,
sub-010075,1,829,3,
sub-010076,4,521,2,
sub-010077,5,553,9,
sub-010078,0,1045,5,
sub-010079,2,1001,5,
sub-010080,1,745,5,
sub-010081,0,1277,5,
sub-010083,0,1553,3,
sub-010084,0,1413,5,
sub-010085,2,1393,6,
sub-010086,6,169,2,
sub-010087,2,821,5,
sub-010088,2,1269,8,
sub-010089,1,1029,7,
sub-010090,2,1753,2,
sub-010091,0,1309,10,
sub-010092,13,777,1,
sub-010093,6,1397,9,
sub-010094,4,729,3,
sub-010100,0,505,3,
sub-010104,3,1689,6,
sub-010126,1,657,1,
sub-010134,0,1129,7,
sub-010136,0,1429,4,
sub-010137,0,441,7,
sub-010138,0,509,3,
sub-010141,0,925,2,
sub-010142,0,1245,4,
sub-010146,1,1049,9,
sub-010148,2,1049,4,
sub-010150,1,1421,5,
sub-010152,0,993,3,
sub-010155,3,725,7,
sub-010157,2,1013,2,
sub-010162,0,1217,2,
sub-010163,7,1457,9,
sub-010164,0,1045,8,
sub-010165,1,1561,6,
sub-010166,6,1533,10,
sub-010168,4,1049,9,
sub-010170,1,1621,2,
sub-010176,0,1333,2,
sub-010183,0,1541,1,
sub-010191,2,309,5,
sub-010192,2,1521,7,
sub-010193,0,1425,4,
sub-010194,1,1049,5,
sub-010195,1,1349,5,
sub-010196,4,985,3,
sub-010197,0,1605,8,
sub-010199,0,1057,9,
sub-010200,1,689,2,
sub-010201,2,1209,3,
sub-010202,4,593,6,
sub-010204,1,1197,8,
sub-010207,2,1597,2,
sub-010210,3,1137,3,
sub-010213,0,1233,4,
sub-010214,0,1025,2,
sub-010215,5,1121,3,
sub-010216,1,1457,3,
sub-010218,1,1173,3,
sub-010219,4,1449,8,
sub-010220,1,513,4,
sub-010222,1,1137,12,
sub-010223,3,1705,5,
sub-010224,3,809,3,
sub-010226,3,925,2,
sub-010227,0,681,4,
sub-010228,1,1337,3,
sub-010230,1,1573,2,
sub-010231,3,917,3,
sub-010232,6,1017,7,
sub-010233,2,1485,4,
sub-010234,1,1241,5,
sub-010236,1,1261,2,
sub-010238,0,1341,8,
sub-010239,0,797,9,
sub-010240,2,1257,2,
sub-010241,3,1393,4,
sub-010242,0,1765,7,
sub-010243,0,1029,5,
sub-010244,2,1389,5,
sub-010245,0,833,12,
sub-010246,1,1505,2,
